Genus	10776.Healthy	10850.Healthy	10543.Healthy	10246.Healthy	10156.Gastrectomy	10684.Healthy	10463.Healthy	10100.Healthy	10342.Gastrectomy	10357.Healthy	10234.Gastrectomy	10537.Healthy	10304.Healthy	10701.Healthy	10197.Healthy	10486.Healthy	10132.Healthy	10680.Gastrectomy	10036.Healthy	10487.Healthy	10166.Gastrectomy	10317.Healthy	10183.Healthy	10791.Gastrectomy	10319.Gastrectomy	10208.Healthy	10554.Gastrectomy	10465.Healthy	10784.Healthy	10341.Healthy	10114.Healthy	10558.Gastrectomy	10215.Healthy	10794.Healthy	10423.Gastrectomy	10207.Healthy	10112.Gastrectomy	10205.Gastrectomy	10354.Healthy	10741.Healthy	10632.Healthy	10107.Healthy	10696.Gastrectomy	10538.Gastrectomy	10623.Gastrectomy	10360.Gastrectomy	10258.Healthy	10673.Gastrectomy	10192.Gastrectomy	10657.Healthy	10064.Gastrectomy	10433.Gastrectomy	10025.Healthy	10037.Healthy	10257.Gastrectomy	10060.Healthy	10297.Gastrectomy	10378.Healthy	10244.Healthy	10291.Gastrectomy	10647.Healthy	10501.Gastrectomy	10250.Healthy	10519.Healthy	10540.Gastrectomy	10733.Healthy	10219.Healthy	10563.Gastrectomy	10369.Gastrectomy	10355.Gastrectomy	10058.Healthy	10176.Gastrectomy	10048.Healthy	10451.Gastrectomy	10751.Gastrectomy	10105.Healthy	10703.Gastrectomy	10599.Gastrectomy	10080.Healthy	10807.Healthy	10395.Gastrectomy	10742.Gastrectomy	10321.Gastrectomy	10302.Healthy	10810.Gastrectomy	10167.Gastrectomy	10659.Healthy	10231.Healthy	10690.Gastrectomy	10457.Gastrectomy	10698.Healthy	10782.Gastrectomy	10340.Healthy	10189.Gastrectomy	10226.Healthy	10106.Healthy
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0.16243	0	0	0.69675	0	0	0	0	0	0	0	0	0.20749	0	0	0	0	0	0.08287	0	0	0	0	0	0	0	0	0	0	0	0.03261	0	0	0	0	0	0	0	0	0	0	0	0.02308	0	0	0.14813	0	0	0	0	0	1.9331	0	0	0	0	0	0	0.01023	0.02876	0	0	0	0	0	0	0	0	0	0	0.19237	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0.00618	0	0	0	0.01274	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05274	0	0	0	0	0	0.08249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.00338	0	0.01233	0	0.00213	0	0.00373	0.00708	0.01542	0	0	0.13015	0	0	0	3.2e-4	0.74072	0.00339	0.00192	2.5e-4	0	0	0.00166	0	0.07977	0.12141	0.01814	0	0.00777	0	0	0	0	0	0.05764	0	0	0.04466	9.2e-4	0	0	0.00561	0.00206	0	0	0	0	0	0	0.011269999999999999	0	0	7.3e-4	0.00424	0	0.00468	0	0	0.00208	0.00131	0	0	0.09898	0	0.00535	0.31958	5.3e-4	0	0	0.007	0	0.00217	0.02581	0.00257	0	0	6e-4	0.00365	0.020759999999999997	0	0	0	0	0	0.00585	0.01175	0.12331	0	0.0017	0.00329	0.02047	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0.00661	0	0	0	0	0.06776	0	0	9.9e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	0	0	0	0.00233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.03801	0.00322	0.00525	0	0.00318	0.02548	0.00694	0	0.03558	0.01223	0.07394999999999999	0.23181000000000002	0.00351	0	0	0	0.46077	0.01494	0	0.00876	0	0.04657	0.01888	0	0.21364	0.1485	0	0	0.00138	0.00388	0	0.01141	0.00289	0	0.07862999999999999	0.09593	0	0.05574	0.01645	0	0.00552	0.00563	0.01443	0.01054	0.05593	0.01007	0.00131	0.01263	0.0068000000000000005	0.16611	0.01774	0	0	0	0.00727	0.03557	0	0.0095	0.04294	0.02907	0.18425	0	0.25155	0	0.09007	0	0.03835	0.00601	0.00901	0.02186	0.00681	0.13229	0.027589999999999996	0	0.03116	0.01261	0.0034200000000000003	0.02074	0.05249	0.00282	0.1845	0.53707	0.02728	0	0.00481	0.1876	0.02519	0	0.03375	0.00533	1.07584	0.01967	0	0	0.01896	0.02397
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	0	0	0	0	0	0	2e-4	0	0	0.00406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16553	0.30682	0	0	0	0	0.03019	0	0.00531	0.01744	0	4.8e-4	0	0	0	0.02087	0	0	0	0	0.00133	0	0	0	0.09042	0.13014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00336	0	0.00164	0	0.12971	0	0	0	0	6.19611	0.00353	0	0	0.02654	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	17.69791	0.029779999999999997	0.03111	5.46134	0.05554	0.14368999999999998	10.90063	0.37914	2.61996	10.42047	0.89974	7.07654	40.56641	0.05774	0.01022	0.04468	0.031599999999999996	0	16.33399	7.280130000000001	0.30563999999999997	0	0	0.02033	0	2.08198	0.87624	0.32557	0	4.57482	6.41425	0.32359	0.14781	0	0.28922	0.03883	1.6995	0.19687	4.32002	7.7e-4	4.59903	0.31223	0.94397	1.0711	0.21696000000000001	0.39665999999999996	3.0359499999999997	18.72064	4.08073	2.12736	0.35536	1.27358	2.88667	0.0058200000000000005	6.17476	65.43378	1.50945	16.2506	1.46818	3.28623	4.20516	0.00264	1.79234	1.96282	0.03088	2.62207	3.90598	0.7746599999999999	0.04997	0.04445	3.92677	0.46254	18.79006	6.33302	0.09017	3.79387	0.24746	6.21225	56.29131	0.9635600000000001	0.17987	0.84026	0.11016	12.6173	0.29281999999999997	0.41369	10.277050000000001	2.9987999999999997	0.018179999999999998	0.5390900000000001	1.11328	0.13237	9.209859999999999	0.27191	2.88706	5.4563299999999995
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia	0	0	0	0	0	0	0.00205	0	0	0	0	0.00163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265	0	0	0	0	0.0013	0	0	0	0	0	0	0.05565	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0.00499	0	0	0	0.02445	0	0	0	0	0	0.00441	0.01214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01527	0	0	0	0	0	0	0	0	0	0.18484	0	0	0	0.01001	0	0	0	0.00444	0	0	0.00844	0	0	0	7.1e-4	0	0	0	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01172	0.01242	0	0	0.01165	0	0	0	0.23054	0.00427	0.02517	0	0	0	0	0	0.010499999999999999	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	0.11679	0	0.14106	0	0	0.02183	0.22276	0	0.09159	0.95372	0	0	0.00778	0.20715	0	0	0	0	0	0.42549	0.04338	0.07442	0	0.01996	0	0.10312	0	0.06342	0	0	0	0.00837	0.00556	0.00276	0	0	0.01999	0.04222	0	0	0	0	0.02912	0.01748	0	0.00476	0	0.1382	0.08795	0	0	0	0	0	0	0	0	0.00596	0.10386	0	0.11519	0.08117	0	0.12102	0	0	0	0.0128	0.00156	0.08782	0.02021	0.08213	0.1498	0	0	0.19733	0.01555	0.0026	0	0	0	0.05142	0	0.11082	0.00248	0	0	0	0	0.01093	0.02285	0.00291	0	0.0494	0.04229	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0.00284	0.00385	0	0	0.00919	0	0.00154	0.00381	0.00288	0.00137	0.00308	0.12689	0	0	0	0	0.1563	0	0	0	0	0	0	2.9e-4	0.01253	0.0094	0.01632	0	0.00321	0	0	0.02934	0	0	0.00647	0.00174	0.00613	0.00491	0.017320000000000002	0	0	0.0028	0.00845	0	0.00626	0.02024	0	0.00494	0	0.01301	3.9e-4	0	6.7e-4	0	0	0.00176	0	0	0.00396	0.00485	0.00384	0	0.00123	0	0.01426	0.058320000000000004	0	0.0073	0	0.01556	0	0.06909	0.00434	0.00589	0.01233	0	0.00476	0.00365	0.00639	0.01304	0	0.08143	0	0	0.00715	0.01521	0.03082	0	0.00775	0.01234	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	1.53017	0.16288999999999998	0.59917	0	0.38939999999999997	0.09386	1.0238	0.70135	1.31431	0	0.25524	0.56272	0	0	2e-4	0	0.68868	0.14104	0.11479	0.74842	0.09591	0.1666	0	0.05917	0.494	0.56305	1.29102	0.98328	0	0.74412	0	0.10098	0.08725	0	0.15968	0.0458	0.08216	0.2624	0	2.75932	0.43921	0.7225	0.31349000000000005	0.26623	2.44544	0.31422	1.04225	2.92915	0.07196	0	0.1231	0.20838	1.97521	0	0.62994000000000006	0	0.8414699999999999	2.47896	2.6421799999999998	0.81317	0.75682	0.00141	0.17804	0.9437	0.05138	2.33352	1.48641	0.4498	0.05345	0.26977	2.70791	0.63964	3.06177	2.35828	0.15797999999999998	0.53417	0.04728	0.35141	0	0	0.25036	0.07088	0.34346	1.42037	0.0594	2.00554	0.63714	0.59026	0.55668	0.22166	2.82394	0.12889	1.4757	0.07325	0.33551	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname	0.00533	0	0	0	0	0	0	0	0.31565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01554	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	0	0	0.08237	0.27943	0	0	0.15622	0.00719	0.0095	0.2098	0	0	0.07393	0.13078	0.11798	0.2727	0.14488	0.00268	1.40121	0.046979999999999994	0	0.05619	1.78548	0	0	0.00202	0	0.019	0.023	0.01477	1.3705	0.00599	0	0.06964000000000001	0.02108	0	0.11224	0.04123	1.44106	0	0.01169	0.01969	0.00222	0.00896	0	0.010830000000000001	0.29713	0.04644	0	0.12662	0.04598	0	0.15683	0.99892	0.16562000000000002	0.39776	0	0.12068000000000001	0.012650000000000002	0	0.12199	0	0.20688	0.12999	0	0.57038	0.66881	0	0	0	0.01072	0.01763	0.15656	0.06412	0.00114	0.01732	0.0021	0.00562	0.12692	0.03947	0	0	0.04694	0.02783	0	0	0.046049999999999994	0.00987	0	0.02215	0	0	0.16279	0.01722	0	0.14391
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter	0.00409	0	0	0	0	0	0.0051	0	0	0.03486	0	0	0	0	0	0	0	0	0.00809	0.02588	0	0.01963	0	0	0	0	0	3.7e-4	0	0	0	0	0	0	0	0	0.02048	0	0.02397	0	0.00412	0	0	0	0	0	0	0	0	0	0	0	0	0.01279	0	0	0	0	0	0	0	0	0.03546	0	0	0	0	0	0	0	0	0	0.02299	0.00273	0	0	0	0	0	0	0	0	0	0.00392	0	0	0	0	0	0	0	0	0	0.00532	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella	0	0	0	0	0	0	0.00148	0	0.00461	0	0	0.01236	0	0	0	0	0	0	0	0.01952	0	0	0	0	0	0.00124	0.00285	0	0	4e-4	0	0	0	0	0	0	0.00264	0	0	0	0.00369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03367	0	0	0	0	0.00121	0	0	0	0	0	0	0.00264	0	0	0	0.00546	0	0	0	0.00755	2.1e-4	0.00753	0	0	7.5e-4	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	0.18301	0	0	0	0	0	0	0	0	0	0	0.00227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0401	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16763	0	0	0	0	0	0	0	0	0.02737	0	0	0	0	0	0.00244	0	0	0.00449	0	0.01233	0.00729	2.1e-4	0	0	0.00457	0	0	0	0	6.9e-4	0	0	0	0	0.00599	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	33.90846	30.19573	54.43652	52.49421	1.28862	13.56767	13.87809	46.993370000000006	10.24821	18.66378	7.30482	1.8005	19.46548	41.20957	23.778290000000002	56.768319999999996	34.68675	8.39113	24.25388	27.79565	3.33008	35.55706	47.09475	33.265550000000005	0.51438	11.58644	9.72538	52.53581	55.655770000000004	20.24232	36.80268	18.35829	19.21391	69.64076	4.57989	3.1856299999999997	31.81634	16.44605	23.95152	21.152359999999998	13.10841	22.93076	10.03023	14.14762	2.8065100000000003	1.05698	39.850410000000004	8.00974	34.98836	32.25696	39.25163	13.095600000000001	5.94349	34.46039	37.61695	4.9099699999999995	6.86108	24.16017	37.472120000000004	15.48622	18.52489	36.34313	24.17933	8.6121	8.75397	39.772220000000004	48.15372	21.27429	10.60048	9.032	3.40295	6.82584	13.20628	40.91075	39.90983	9.61513	27.67265	13.21767	0.05131	26.967879999999997	69.68092	25.38831	12.91828	8.06584	18.363	3.42868	4.62936	4.41302	1.22119	46.75989	6.5419	23.79812	5.18602	21.33256	10.28421	49.844899999999996
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	0.14485	0	0.91757	0	0	2.24603	0	0.01223	0.00735	0.80363	0	0	0.03008	0	0.00233	0	0	2.00843	0	0.67416	0.00809	0.09337	0	0	0.00469	0.367	2.5212	0	0	0	0	1.91027	1.33909	0	0	0.00762	0.29355	0	0	0	1.59126	0	1.37865	0	0.1326	0	0	0	2.60629	0	2.92336	5.38879	0.63699	0	0	0	0.04082	0	0	0.12829	2.23435	2.17511	0	0.3779	0.04285	0	0	1.15445	0	0.17562	0.00566	0.01481	0	0	0	1.1989	0	0.98985	0	0	0	0	0	0.02595	2.45657	0.00403	0	0	0.47081	0	0	0.52697	0	5.17499	0.1912	1.22182
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas	0	0	0	0	0	0.05804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08617	0	0	0	0	0	0.01728	0	0	0	0	0	0	0	0	0	0	0	0	0.01191	0	0	0	0	0	0	0	0.00384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14763	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter	1.59107	0	0.09828	0.16958	0	0.05378	0	0.0072	0.00329	0	0	0	0.02834	0	0	0.86289	0	0.06337	0	0	0	0	0	0.0151	0	0	0.15177	1.7778	0	0	0	0	0	0	0	0	0	0.02947	0	0	0.03746	0	0	0	0.01796	0	0	0	0.0413	0	0	0	0	0	0	0	0.01996	0	0	7.6e-4	0	0.00109	0.19416	0.17404	0	0	0	0	0	0.14328	0	0	0	0	0	0	0	0	0	0	0	1.56522	0	0	0	0	0	0	0	0	0	0.00194	1.3223800000000001	0	0.01211	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	0.2103	0	0.18209	0.00535	0.10186	0.81909	0	0	0.16975	0	0	0	0	0	0	0	0	0.4757	0	0	0.19385	0.17188	0	0.98766	0.13717	0.10959	0.45960999999999996	1.08476	0.2407	0.43737	0	0.41341	0.77919	1.6298	0	0.42793	0.51313	0.74734	0	0	0.34865	0	0.21919	1.1426	0	0.01813	1.46136	0.10872	0.42539	0	0	0	0.0143	0	0	0	4.36889	0.00868	0	0.01434	0	0.42739	0.17643	0.39443	0.04409	0	0	0.6741	1.24384	0.14043	0	0.25648	0.09325	0.583	1.13589	0.41505	0.36172	0.09185	0	0	0	0.20201	1.09671	0.23442	0.58593	0.01256	0	0.91098	0.0952	0	0.07046	0.25491	0	1.943	0.18751	0.00981
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	2.7572	3.30278	3.75277	4.99408	0.86853	1.06158	1.55665	2.33947	0.36414	0.9326599999999999	2.43082	0.27299	1.0936	19.87126	0.04668	0.47563	3.31881	0.8434	5.46234	5.17181	2.44428	3.10158	0	9.08398	1.92134	5.79937	0.96626	6.45524	14.96839	1.29473	0.13522	1.86526	1.2756399999999999	2.63475	0.86749	1.02787	9.13814	6.110869999999999	0	4.46511	4.0041	0.76295	0.98649	11.50464	0.12683	0.65487	33.61031	0.5145	11.60054	4.32478	3.82382	9.50565	0.79197	24.31457	7.192959999999999	1.03911	3.93209	1.99852	5.07863	1.10243	2.01229	8.617130000000001	2.09757	2.8923200000000002	1.98327	6.32568	4.33623	2.48772	2.81823	2.42142	8.60143	0.60268	0.73759	2.33114	8.22417	1.72584	1.6917	1.7726799999999998	0.0043300000000000005	0	0.70259	4.17173	1.95852	1.20444	4.28638	1.05822	3.29977	6.7208	0.67826	15.235299999999999	1.6642000000000001	1.13941	2.25819	4.76695	0.67752	2.9234
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0	0	0	0	0	0	0	0.00102	0	0	0.01826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01187	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0.00411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	0	2.91565	0	1.0558	0.23381000000000002	1.09613	0	1.03257	0.78922	0	0	0	0	0	0	0	0	0	0	1.78575	0.56117	0	0	0	0.04699	0	0.15822	0	0	0	0	1.24048	1.27927	4.65737	0	0.22293999999999997	1.5420800000000001	1.53427	0	0.10696	0	0	1.23278	0	0.36448	0	0	0	0	0	0	0	0.64864	0	0	0	0.32982	0	0	0	0	0	0	0.6271399999999999	0	0	0	0	3.4609500000000004	1.3857300000000001	0	0.67811	0	0	0	1.56421	0	0	0	0	0.23492	0	0.48289000000000004	0	0.014209999999999999	0.34498	0	0.7730699999999999	0.08323	0	0	0	1.2977800000000002	0	0	0
