Genus	10776.Healthy	10850.Healthy	10543.Healthy	10246.Healthy	10156.Gastrectomy	10684.Healthy	10463.Healthy	10100.Healthy	10342.Gastrectomy	10357.Healthy	10234.Gastrectomy	10537.Healthy	10304.Healthy	10701.Healthy	10197.Healthy	10486.Healthy	10132.Healthy	10680.Gastrectomy	10036.Healthy	10487.Healthy	10166.Gastrectomy	10317.Healthy	10183.Healthy	10791.Gastrectomy	10319.Gastrectomy	10208.Healthy	10554.Gastrectomy	10465.Healthy	10784.Healthy	10341.Healthy	10114.Healthy	10558.Gastrectomy	10215.Healthy	10794.Healthy	10423.Gastrectomy	10207.Healthy	10112.Gastrectomy	10205.Gastrectomy	10354.Healthy	10741.Healthy	10632.Healthy	10107.Healthy	10696.Gastrectomy	10538.Gastrectomy	10623.Gastrectomy	10360.Gastrectomy	10258.Healthy	10673.Gastrectomy	10192.Gastrectomy	10657.Healthy	10064.Gastrectomy	10433.Gastrectomy	10025.Healthy	10037.Healthy	10257.Gastrectomy	10060.Healthy	10297.Gastrectomy	10378.Healthy	10244.Healthy	10291.Gastrectomy	10647.Healthy	10501.Gastrectomy	10250.Healthy	10519.Healthy	10540.Gastrectomy	10733.Healthy	10219.Healthy	10563.Gastrectomy	10369.Gastrectomy	10355.Gastrectomy	10058.Healthy	10176.Gastrectomy	10048.Healthy	10451.Gastrectomy	10751.Gastrectomy	10105.Healthy	10703.Gastrectomy	10599.Gastrectomy	10080.Healthy	10807.Healthy	10395.Gastrectomy	10742.Gastrectomy	10321.Gastrectomy	10302.Healthy	10810.Gastrectomy	10167.Gastrectomy	10659.Healthy	10231.Healthy	10690.Gastrectomy	10457.Gastrectomy	10698.Healthy	10782.Gastrectomy	10340.Healthy	10189.Gastrectomy	10226.Healthy	10106.Healthy
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera	0	0.06864	0	0	0.0424	0	0.01002	0	1.50539	0	4.41726	0.30259	0	0	0	0	0.00919	0	0	0	0	0	0	0	0.00144	0.27943	0.00132	0	0	0	3.75184	0.02407	0.02324	0	0.14194	0.00794	0	0.47342	0	0	1.01811	0	0.03776	0	0.02762	3.6844799999999998	5.01789	4.95819	0	1.2837	0.64898	0	1.31613	0.45368000000000003	0	0.01165	0	0	0	0.01706	0.44394	0.02244	0.00115	2.52097	0.00268	0.02827	0	0	0.00907	0.03167	0.21809	0.10066	0.02239	0	0.18769	0	0.02188	0.38054	4.3e-4	1.27121	0.03897	0.26033	0	0	0.27436	0.02309	1.38838	0	0.39071	0.03375	0	0.12671	0	0	0	0.0152
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella	0	0	0	0	0	0	0.00508	0	0	0	0	0	0	0	0	0	0	0	0	0.01761	0	0	0	0	0.158	0	0	0	0	0	0	0	0	0	0	0.37170000000000003	0	0	0.00897	0	0	0	0	0	0	0.9097700000000001	0.00463	0	0	0	0	0	0	0	0	0	0	0	0	0.30428	0	0	0	0	0	0	0.0039	0	0	0.00348	0	0	0	0	0	1.2012999999999998	0	0	0	0	0	0	0	0	0	0	0.83033	0	0.20048	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Selenomonas	0	0	0	0	0	0	0	0	0	0	0	0.00813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00406	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	0.12521000000000002	0.01691	0.06736	0.5540499999999999	1.6989100000000001	0.11855	5.43518	0.00809	0.15127	0.26569	1.5089299999999999	31.405499999999996	0.07606	0.00412	0.06709999999999999	0.016739999999999998	0.92081	1.5017200000000002	0.0035	0	0	0	5.36291	0.55947	1.7921099999999999	8.90778	1.0658400000000001	0.05385	0.16963	0.26302000000000003	0.02645	3.38952	0.6940500000000001	0.12087	18.0258	0.85794	0.05493	1.71378	0.05268	0.59871	0.1129	2.93288	6.041440000000001	0.039830000000000004	1.10087	2.29164	0.14103	5.42467	0.78483	5.29316	3.11237	1.44531	0.06868	0.060649999999999996	0.16240000000000002	0.9785499999999999	0.82013	0.11205	0.023469999999999998	1.58752	5.8601600000000005	0.27888	0.87156	0.01747	3.71887	0.16079000000000002	0.45264	0.19902	1.30273	5.22294	0.01125	4.06768	1.37816	0.07304000000000001	2.46352	0.10846	2.0554	1.30008	1.80796	5.44332	1.56134	2.5056399999999996	0.87128	0.01569	2.5183600000000004	0.87281	4.51969	0.01539	3.71609	2.86511	0.56846	6.70038	0.13721	1.41016	0.7341500000000001	0.14135999999999999
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	3.46548	3.82938	4.77127	13.74786	0	0	0	29.89478	0	0	0.03214	0.09383	0.00909	0	9.94713	0	0.31366	0	0	0	0	0	1.82012	0	0	0.12533	0.00261	0	0	0	0.03948	0.01168	0.00926	0.56886	0.05897	0	0	0.00291	0.09951	5.48531	0	15.28385	0	0	0	0.01762	0.01109	0	0.0164	0	0	0	0	0.38588	0.00348	0	0	0	0.56022	2.8e-4	0	0	0.00216	0	0.63815	0.00346	0	0	0	0.01022	1.8126300000000002	0.05033	0	0	1.0265600000000001	0	0.005180000000000001	0	2.59426	1.68571	0	0.02286	0	0	0	0.00892	0	0.13272	0	0.020970000000000003	0	0.00521	0	0.01565	0	0.00107
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	0	0	0	0	0	0	0	0	0	0	6e-4	0.05777	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00677	0	0	0	0	1.5e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4e-4	0	0	0.00856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	0.28306	2e-4	0	0	0	0	0	0	0	0.01887	0.03625	0	0	0	0	0	0	3.9e-4	0	0	0	0.00218	0	0.01739	8.7e-4	0.00633	0.19093	2.9e-4	0	0	0.07118	0	0	0	0.00919	0	0.01665	0	0	0	0	0	0	0	0	0	0.00802	0	0.06296	0.05477	1.4e-4	0	0.01035	0	0	0	0	0	0	0.0061	0.01306	0	0	0	0	0	0	0	0	0	0	0	0	0.22661	0	0.00114	0.00273	0	0	0	0	0	0	0	0	0	0	0	0.01585	0	0	0	0	0.00188	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter	0	0	0	0	0	0	0	0	4.1e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00217	0	0	0	0	0	0	0.01221	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0.01837	0	0.00254	0	0	0	0	0	0.01369	0	0	0	0	0	0	0	0	0.00212	0	0	0	0	0	0	0	0	0.26949	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	0.14423	0	0	0	0	0	0	0	0	0.13068	0.06096	0	6.4e-4	0	0	0	0	0.00721	0	0	0	0.01691	0	0.04521	0.01836	0.00214	0.06242	0	0	0	0.03324	0	0.00243	0	0.01031	0.00685	0.04659	0	0	0	0.04084	0	0.00141	7.3e-4	0	0	0.04774	0	0.05892	0.46751	0.094	0	0.01333	0	0	0	0.04038	0	0	0.02122	0.06317	0	0	0	0	0	0	0	0	0	6.1e-4	0	0	0.29976	0	0	0	0	0	0	0	9e-4	0	0	0	0	0	0.00113	0.02682	0.38698	0	0	0	0.07204	0.00184	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	0	2.94789	3.68562	0.66072	0.3798	1.03024	0	2.3641900000000002	0.47549	0	2.35696	0	3.17809	3.9768	0.81172	0	0.38966	0.13145	0	0.43983	0.076550000000000007	0	6.94474	2.79497	1.47935	1.91603	0	0	0	1.22138	0	1.92309	0.03851	0	0.87277	0.21162	0	0.55824	0	0	0	0.7890699999999999	0.44376	0	0.00407	2.07029	0.39786	0	0	0	0	0.67707	0	0	0	0	0.96361	2.91821	0.93703	0.50523	0	0	0	1.40408	0.01139	0	0	1.28691	0.54128	0.20659	2.92362	0.3873	2.07461	0	1.1795	1.16624	2.24607	0.33308	0	1.59076	0.68379	2.09468	1.57928	1.55553	0	0.00738	0.35169	0.85022	0.6887	0	3.18961	0.40896	0	1.52009	0.41919	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella	0	0	0	0	0	0	0	0	0	0	0	0.01406	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	0	0	0.00437	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0.05396	0	0	0	0	0	0	0	0	0	0.00588	0	0	0	0	0	0	0.01968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00158	0	0	0	0	0	0	0.1084	0	0	0.12509	0	0.00264	0	0	0	0	0	0	0	0.00451	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	0.89957	0.0231	0.35003	0.22189	0.01529	0.33022	0.19782	0.00799	0.00921	0	0.16579	0.00501	0.01493	0.59008	0	0	0.21266	0.14412999999999998	1.13931	0	0.069	0.13279	0	0.15051	0.06489	0.031	0.22298	0.8949600000000001	0	0.25687	1.38419	0.08032	0	0	0	0.02358	0.64666	0.2922	0	0.03635	0.29675999999999997	0.0213	0.05868	0.050969999999999994	0.10441	0.11739	0	0	0.5006200000000001	0.5909	0	0.00467	0.14348	1.23448	0.82156	0	0.38426	0.09107	0	0.15897999999999998	0.39932	0	0.44560000000000005	0.17443999999999998	0.03746	0.9045500000000001	0.5845199999999999	0.08587	0.0033	0.05597	0.64201	0.12456	0.04575	0.6457600000000001	0.33449999999999996	0.20158	0.12296	0.02847	0	0	0	0.3196	0.08866	0	0.5028699999999999	0.01225	0	0.59721	0.03966	0.45072	0	0.03034	0	0.33436	0.01106	0.31599
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0.00147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39614	0.05333	0.00137	0	0	0.10213	0.08263	0	0.00624	0	0	0	0.03822	0	0	0	0.14735	0	0	0	0	0	0	0	0	0	0.07019	0	0	0	0	0.24244	0	0	0	0	0	0.79924	0	0	0.08745	0	0	0	0	0.03875	0	0.00221	0.01195	0	0.03272	0.16959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02753	0	0.10324	0	0	0	0	0	0.02176	0.00387	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter	0	0	0	0	0	0	0	0	0	0	0	0.16083	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007980000000000001	0	0	0	0	0	0	0	0	0.02812	0.00937	0	0	0	0	0	0.01281	0.00308	0	0	0	0	0	0	4e-4	0	0	0	0	0.00224	0	0	0	0	0	0.01117	0	0.0099	0	0.00135	0	0	0	0	8.2e-4	0	0.03074	0	0	0.007	0	2.9e-4	0	7e-4	0.00373	0	0.19663	0	0	0	0	0.01691	0	0	0	0.00389	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02634	0.00281	0	0	0	20.56532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas	0	0	0	0	0	0	0	0	0	0	0.01453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00503	0	0	0	0	0	0	0.04879	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0853	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	0	0	0	0	0	0	0	0	0	2.6e-4	0	0.01311	0	0	0.10402	0	0	0	0	0	0	0	0	0	0	0.47382	0	0	0	0	0	0	0.01451	0	0.04257	0.00364	0.01736	0	0	0	0.16	0	0	0	0	0.01355	0	0	0	0	0	0	0	0	0	0	0	0.00171	0	0	0.16351	2.64333	0.00447	0	0	0	0	0	0	0.00333	0	0	0	0	0	0	0	0	0	0	1.06642	9.13559	0	0	0	0	0.53941	0	0	0	1.89997	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	0	0.01454	0	0	0	0	0.4425	0.00363	0	0.00226	0	0.25088	0	0	0	0.21716	0	0.00897	0	0	0	0	0	0	0	0.02003	0.11801	0	0	0	0	0	0	0.00553	0.12401	0.04836	0	0.03919	0	10.68665	0.5046999999999999	0	0	0	0.06459999999999999	0	0	0	0	0	0	0	0	0	0	0	0.01624	0.04409	0	0	0.0186	2.05503	0.17118	0	0	0	0	0	0.0925	0.0031	0	10.14705	0.00917	0	0	0	0.05053	0	0	0	0.26929	0	0	0.55714	0	0	0	0	0	2.79486	0.00165	0	0	0.01782	0.00164	0.41331
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0.37158	4.7996	0.03822	4.76419	39.82914	0.00348	0.06863	0.65628	0.05874	0.01284	0	0.08525	0.06709	0	59.30973	0.03718	2.56151	0.00329	1.86182	0.012920000000000001	0	0.35152	10.14996	0.0166	11.40967	0.08341000000000001	0.08363999999999999	0	0.5	0.00285	2.11821	0.01157	33.102959999999996	0.018349999999999998	0.06178	0.85901	0	0.01511	38.44842	2.2458400000000003	2.63955	0.00359	1.34314	0.06795999999999999	11.73058	0.7927	0.023829999999999997	14.5764	0.1703	0.34136	0.01457	0	0.00312	1.16674	2.04587	0.87674	0.07224	0	0.15481	2.09728	0.12731	0.35373	0.25298	0.4958	40.77182	0.4601	3.76113	3.48979	0.00597	0.01792	0.17915	0.60012	0.01711	0.06793	0.19285	0	10.81655	9.847760000000001	3.89335	20.0371	1.04233	0.13103	25.01922	1.85503	0.25276	12.95551	0	29.67458	17.41676	0.30616	0.01172	17.13081	0	5.53584	0.02298	0.04259
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	0	0.03233	0	0.07268	0	0	0.21702	0	0	0	1.73837	0.10425999999999999	0	0	0.0184	0.04717	0	2.5632900000000003	0	0	0	0	0.05932	3.63945	0	0.8099799999999999	0	0	0.00864	2.09898	0	49.19892	11.10396	0	0.00679	0.64526	0	0.00392	0	0	0.02564	0	0	0	0.09106	10.08303	0	0	0.01665	0	0.70819	0.41028	0	0	0	0	0.12819	0	0.00645	0	0.95962	0.52723	0.00797	0	0	0	0.01413	0	0.02829	0	0	0	0	0	19.99547	0	0.40481	19.42969	2.60488	22.81904	0.6022	3.3399799999999997	5.97726	0	4.9721	2.32325	0	0	0.26724	0	4.9191	6.401	0	7.012910000000001	0	0.00204
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Morganella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03522	0	0	0.03625	0	0	0	0	0	0	0	0	0	0	0.02104	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella	0	0.01844	0	0	0	0	0	0	0	0	0	0.22767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60281	0	0	0	0	0	0	0	0.04889	0	0	0	0	0	0.02847	0	0	0	0	0.01877	0	0	0.00132	0	0	0	0	0	0	0	0	0	0	0	0	0.50152	0.02699	0	0	0	0	0	0.02434	0.0107	0	0	0	0	0	0	0	0	0	0	1.00471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	0.01038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00535	0	0	0	0.0017	0	0	0.00497	0	0	0	0	0	0	0	0	0	0	0.01628	0	0	0.01664
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter	0	0	0	0	0	0	0	0	0	0	0	0.01806	0	0	0	0	0	0.00289	0	0	0	0	0	0	0.00292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00108	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0	0.02465	0	0.05945	0.09236000000000001	0.20308	1.91054	0.51803	1.4304299999999999	0.36626000000000003	0.09998	10.24387	0.31354	0	0	0.00584	0.0958	0.34661	0	0.03261	0	0	0.15537	0.16616	1.25926	6.22747	0.45647	0	0.01732	0.003	0	3.2e-4	0.37607	0.26111	7.89697	2.24559	0	1.70091	0	0.86347	0.11068	4.40154	1.71822	0.02918	0.39753000000000005	0.076550000000000007	0.01922	0.04496	1.1141	3.08601	0	0	0.09556	0.21127	0.08952	0.37291	0.29984	0.82659	0.94362	0.31238	3.77645	0.00463	0.17731	0.1084	0.36135999999999996	0.07703	1.60338	0	1.31391	0.95158	0	3.69611	1.03317	0.01302	1.74369	0.09651	0.03181	0.03303	2.69701	0.09561	2.72666	8.157	0.05615	0.02789	0.28299	0	0.98879	0	0.05755	0.0233	0.25694	0.23749	0.26299	0.2176	0.23244	2.82
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0.01331	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00235	0	0	0	0	0	0.10539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02869	0	0	0.0108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03914	0	0	0	0	0	0	0	0	0	0	0	0	0.0165	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira	0	0	0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02818	0.01067	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00329	0	0	0	0	0	0	0	0	0	0	0	0	0.03572	0	0	0.00521	0	0	0	0	0	0	0	0	0	0	0	0	1.32646	0	0	0	0	0	0.08076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00696	0	0	0.1084	0	0.01928	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00405	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Pyramidobacter	0	0	0	0	0	0	0	0	0	0.02256	0	0	0	0	0	0	0	0.00984	0	0.12357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00894	0	0	0	0	0	0.13251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00284	0	0	0	0	0.00352	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	0	0	0.4157	0	0	0.4162	0.03114	0	0	0	5.18115	0	0	0	0	0.04683	0	0.05954	0	2.37759	0	0	0	1.5127	0	0.02534	2.19026	6.75261	0	0.12041	0	2.88382	0	0	0.0024	4.1e-4	0	0	0	0	0	0	0.25658	0.11805	0	0	0	0.18275	0.97889	0	2.13992	0.01934	0	0	0.00102	1.2324	0.06117	0.00678	0.06573	0.42893	0.02005	0	0	0.76848	0	0	0	16.60665	0	0	0	0.18375	0.00344	2.26113	0	0.04663	6.98521	0	0	0	0	0.53347	0	0	0.044	0.02755	0	0.00789	0	0.16505	0	0	0	2.40136	0.0109	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__C2likevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00276	0	0	0	0	3.69701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname	0	0	0	0	0	0	0	0	0	0	0	0.01792	0	0	0	0	0.0941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06467	0.02304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00878	0	0	0	0	0.04457	0.02094	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.83679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus	0	0	0	0	0.0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228	0	0	0	0	0	0	0	0.00151	0	0	0	0	0	0	0	0	0
Unclassified	0.03667	0	0.00264	0	0.01429	0.012070000000000001	0	0	0.10413	0	0.42633	0	0	0	0	0.00252	0	0.04239	0	0.24561	0.05752	0	0	0.62953	0.02773	0.05371	0.06584	0.19877	0	0.01823	0	0	0.05408	0	0	0.12398	0.00834	0	0	0	0.23968	0	0	0.24496	0.00425	0.00255	0.59279	0	0.42017000000000004	0	0.04069	1.59425	0.09605	0	0	0	0.18018	0.00636	0	0.22837	0.07686	0.1761	0	0	8.1e-4	0.0129	0	0.60159	0.06017	0.00625	0.0026	0.07443	0	0	0	0	0	0	0	0	0	0.12858	0.06467	0.07411	0.22469	0.00236	0	0.10117	0.07569	0	0	0.06425	0	0.98447	0.08533	0
