Genus	PRISM.7122	PRISM.7147	PRISM.7150	PRISM.7153	PRISM.7184	PRISM.7238	PRISM.7406	PRISM.7408	PRISM.7421	PRISM.7445	PRISM.7486	PRISM.7496	PRISM.7506	PRISM.7547	PRISM.7658	PRISM.7662	PRISM.7744	PRISM.7759	PRISM.7762	PRISM.7776	PRISM.7791	PRISM.7843	PRISM.7847	PRISM.7852	PRISM.7855	PRISM.7858	PRISM.7860	PRISM.7861	PRISM.7862	PRISM.7870	PRISM.7874	PRISM.7875	PRISM.7879	PRISM.7897	PRISM.7899	PRISM.7904	PRISM.7906	PRISM.7908	PRISM.7909	PRISM.7910	PRISM.7911	PRISM.7912	PRISM.7938	PRISM.7941	PRISM.7947	PRISM.7948	PRISM.7955	PRISM.7971	PRISM.7989	PRISM.8095	PRISM.8096	PRISM.8101	PRISM.8106	PRISM.8129	PRISM.8226	PRISM.8244	PRISM.8264	PRISM.8275	PRISM.8283	PRISM.8332	PRISM.8336	PRISM.8361	PRISM.8374	PRISM.8377	PRISM.8406	PRISM.8441	PRISM.8444	PRISM.8447	PRISM.8452	PRISM.8458	PRISM.8462	PRISM.8464	PRISM.8466	PRISM.8467	PRISM.8475	PRISM.8480	PRISM.8483	PRISM.8485	PRISM.8496	PRISM.8502	PRISM.8503	PRISM.8511	PRISM.8513	PRISM.8515	PRISM.8523	PRISM.8534	PRISM.8537	PRISM.8550	PRISM.8564	PRISM.8565	PRISM.8573	PRISM.8577	PRISM.8589	PRISM.8591	PRISM.8592	PRISM.8605	PRISM.8624	PRISM.8628	PRISM.8629	PRISM.8667	PRISM.8675	PRISM.8683	PRISM.8692	PRISM.8696	PRISM.8728	PRISM.8734	PRISM.8735	PRISM.8746	PRISM.8749	PRISM.8753	PRISM.8754	PRISM.8758	PRISM.8764	PRISM.8765	PRISM.8774	PRISM.8776	PRISM.8778	PRISM.8783	PRISM.8784	PRISM.8785	PRISM.8788	PRISM.8789	PRISM.8794	PRISM.8795	PRISM.8800	PRISM.8802	PRISM.8803	PRISM.8805	PRISM.8806	PRISM.8807	PRISM.8809	PRISM.8815	PRISM.8841	PRISM.8843	PRISM.8844	PRISM.8846	PRISM.8847	PRISM.8849	PRISM.8878	PRISM.8882	PRISM.8892	PRISM.8894	PRISM.8898	PRISM.8924	PRISM.8932	PRISM.8982	PRISM.8998	PRISM.9010	PRISM.9018	PRISM.9030	PRISM.9033	PRISM.9074	PRISM.9079	PRISM.9126	PRISM.9148	Validation.LLDeep_0001	Validation.LLDeep_0003	Validation.LLDeep_0010	Validation.LLDeep_0011	Validation.LLDeep_0012	Validation.LLDeep_0015	Validation.LLDeep_0018	Validation.LLDeep_0021	Validation.LLDeep_0022	Validation.LLDeep_0024	Validation.LLDeep_0026	Validation.LLDeep_0027	Validation.LLDeep_0028	Validation.LLDeep_0029	Validation.LLDeep_0030	Validation.LLDeep_0033	Validation.LLDeep_0034	Validation.LLDeep_0037	Validation.LLDeep_0039	Validation.LLDeep_0043	Validation.LLDeep_0047	Validation.LLDeep_0052	Validation.UMCG0333264	Validation.UMCG1180653	Validation.UMCG1576297	Validation.UMCG1705352	Validation.UMCG1708847	Validation.UMCG2023308	Validation.UMCG2136686	Validation.UMCG2739287	Validation.UMCG2788516	Validation.UMCG3243705	Validation.UMCG3299495	Validation.UMCG3321127	Validation.UMCG3595094	Validation.UMCG3748218	Validation.UMCG4000898	Validation.UMCG4081271	Validation.UMCG4268471	Validation.UMCG4722506	Validation.UMCG4789724	Validation.UMCG4851027	Validation.UMCG5113553	Validation.UMCG5308346	Validation.UMCG5437940	Validation.UMCG5613882	Validation.UMCG5792346	Validation.UMCG5921444	Validation.UMCG6047689	Validation.UMCG6054655	Validation.UMCG6262744	Validation.UMCG6628208	Validation.UMCG6720116	Validation.UMCG6738619	Validation.UMCG6868484	Validation.UMCG6966873	Validation.UMCG7115152	Validation.UMCG7198526	Validation.UMCG7563651	Validation.UMCG8089650	Validation.UMCG8255148	Validation.UMCG8438880	Validation.UMCG9119812	Validation.UMCG9189151	Validation.UMCG9830707
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera	0	0	0	0	0	1.884e-4	1.69e-5	0	0	0	1.344e-4	0	0	0	0	0	0	2.37e-5	0	0	9.64e-5	0.0952358	0	0	0	0	0	0	1.752e-4	0	3.253e-4	0	0	0	0	0	0	0	3.264e-4	0	0	0	0.0139944	3.17e-5	0.0434167	0	0	0	0	0.017363899999999998	0	0	3.97e-4	0	0	0	1.779e-4	0.082337	0	0.001364	0	0	0.0046798	0	0	0	0	0	0	0.0525579	0	1.41e-4	0	0	8.064e-4	0	0.131703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117162	0	0	0.018082	0	0	1.388e-4	0	0	0	0	7.48e-5	0	0.0014516	0	5.556e-4	0.027565899999999997	4.39e-5	0	0	0	0	0	0	0	6.15e-5	0	0.0029901	0.0124305	7.6e-6	0	5.8e-6	9.52e-5	0	2.655e-4	0.0424523	2.32e-5	8.802e-4	5.21e-5	5.62e-5	0.0512899	0	1.196e-4	0	9.08e-5	0	8.74e-5	0	0	0	0	0	0	0	0	0	0.0252333	1.748e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	1.005e-4	6.95e-5	6.27e-5	3.23e-5	4.708e-4	0.1069412	0.0293226	3.072e-4	4.315e-4	0.0011839	9.59e-5	2.461e-4	2.226e-4	4.6e-5	0.0136281	4.43e-5	4.12e-5	0.0160258	2.99e-5	1.7720000000000002e-4	4.1700000000000004e-5	0.0856688	9.09e-4	0.0018672	7.536e-4	7.067e-4	1.151e-4	0	0	0	0	0	0	0.0076974	0	1.825e-4	0.0039209	5.164e-4	1.952e-4	5.430000000000001e-4	4.42e-5	0.0014301	0.105629	0.0098199	0.041288200000000004	1.3350000000000002e-4	7.949e-4	0.29635500000000004	0.037237099999999995	0.034248	0.00093000000000000005	1.764e-4	0.046503499999999996	0.0012116	0.0718468	7.4e-6	0.0275587	2.3559999999999998e-4	6.9e-6	1.2600000000000001e-5	1.78e-5	6.49e-5	4.99e-5	1.9130000000000001e-4	0.0024744	0	0	0	0.0016738	6.5e-6	5.627000000000001e-4	0.01943	1.449e-4	6.887e-4	0.0635974	0	2.3590000000000001e-4	0.0015541	1.062e-4	0.0053948	0	5.93e-5	2.274e-4	0	0.006695	0.0246274	0.0076476	3.8e-4	1.95e-4	0.0070091	8.655e-4	4.9e-6	0.0035933	7.6e-5	7.58e-5	0.0047246	1.122e-4	0.0012449000000000002	6.440000000000001e-5	0	8.037999999999999e-4	0.0898648	0	5.65e-5	2.52e-5	1.12e-5	0.026028	0.0970329	3.41e-5	0.012753800000000001	1.579e-4	6.740000000000001e-5	4.326e-4	6.032e-4	3.26e-5	4.6e-5	3e-6	4.2800000000000004e-5	3.02e-5	5.48e-5	6.21e-5	2.04e-5	0.0023155000000000003	0	4.4929999999999997e-4	6.76e-5	5.216999999999999e-4	0.010726000000000001	0.0218945	2.5039999999999996e-4	0.0034532	6.043e-4	0.0039472	7.176e-4	0	0.0014027	0.0014483	0.003671	0	0.0877682	1.012e-4	6.29e-5	2.593e-4	0	0.022431600000000003	2.838e-4	0.0014667	1.63e-5	9.549999999999999e-4	8.080000000000001e-5	1.72e-5	2.152e-4	1.764e-4	4.533e-4	2.071e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02e-5	4.305e-4	0	0	1.069e-4	0	0	0	5.12e-5	0.0117128	0	0	0	0	2.437e-4	4.832e-4	0	0.0203249	0	0	0	0.0018405	0	0	0.105849	0	0	0	0.0045073	4.11e-5	0	3.214e-4	0	1.36e-5	0	0	0	3.045e-4	0.0504273	0	0	7.635e-4	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	0	0	0	0	0	3.68e-5	0	0	0	0	0	0	1.48e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142206	0.0189321	0.0471953	0	0	0.009007	0	0.0367982	0	0	8.51e-5	0	0	0	0.0086212	0	0	0	0	0	0.0221777	0.0030974	0	0	4.134e-4	0	0	0	0	6.498e-4	0	0	0	0	0	1.731e-4	0	0	0	0	0	0	0.0010692	0.0020155	0	0	0	0	0	0	0	0.0027503	0	0	0	0	0	0	0	3.363e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0703658	0	0	0	4e-6	0	0	1.801e-4	0	1.41e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	0	0.0021445	0	0.003092	0	0	0	0	0	0.0011029	0	0	0	0.0025199	2.74e-4	0	6.79e-5	0	0.0013722	0	0	0.0042796	0.0025095	0	1.912e-4	2.047e-4	5.104e-4	0	0.0038546	0	0	0	5.82e-5	1.153e-4	0.0015476	0	3.344e-4	0	2.93e-5	0	0	5.652e-4	0	0	0	0	0	0	0	0	0	0.0024468	0	0	0	0.0016355	0	0	0.001086	0.0013567	0	0	0.0023777	0	0.0032734	0	0	0	0	0.001285	1.404e-4	0	0.004035	1.828e-4	0	0	2.172e-4	0	0	0	0.0016862	0	9.05e-5	0	0	0	0	0	0	0	0	0	0	0	2.3e-6	0	8.53e-5	0.0025975	0	7.689e-4	0	0	0	0	7.26e-5	0	0	0	0	0	2.238e-4	0	0	5.31e-5	0.0010962	0	1.105e-4	0	0.0017788	1.51e-5	3.45e-5	0.0022834	2.706e-4	4.18e-4	1.373e-4	0	0	0	0	0	0	0	1.706e-4	0.0046196	0	0	0.00136	0	0.0013042	0	0	0	0.0043691	0	0	0	0	0.0039493	0	0	0	0.0089763	0	0.0020041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	0	0.0056722	0	6.542e-4	0	0	0	0	0	0.0047573	0	0	0	0.0158518	6.21e-5	0	4.3e-5	0	1.989e-4	0	0	0.0042769	5.646e-4	0	9.555e-4	4.476e-4	0	0	0.0010763	0	0	0	6.187e-4	3.022e-4	0.0012564	0	1.659e-4	0	9.3e-6	0	0	0.0014804	0	0	0	0	0	0	0	0	0	0.0023094	0	0	0	4.4e-6	0	0	0	0.0018041	0	3.73e-5	0.006333	0	3.723e-4	0	0	0	0	0.0016098	5.47e-5	0	1.474e-4	5.454e-4	0	0	1.844e-4	0	0	0	0.0012393	0	3.662e-4	0	0	0	0	0	0	0	0	0	0	0	7.36e-5	0	1.18e-4	3.041e-4	0	3.474e-4	0	0	0	0	1.613e-4	0	0	0	0	0	1.208e-4	0	0	6.39e-5	0.0023299	1.53e-5	1.011e-4	0	0.0016638	0.0032801	1.29e-5	7.139e-4	5.5e-6	0.0024719	4.188e-4	0	0	0	0	0	0	0	0.0016187	0.0047567	0	0	0.0011344	0	0.0031992	0	0	0	2.446e-4	0	0	0	0	0	0	0	0	0.0080804	0	0.0035082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	0	0	0	0	0.0020823	0	0	0	0	0	0.0316038	0	0	0	0	2.44e-5	0	0	0	0	0	0	0	0.0029559	0	0	0	0	0	0	5.64e-5	0	0	0	0	0	0	0.0015345	0	0.0010098	0	0	0	0	5.494e-4	0	0	0	0	0	0.0392743	0	0	0	0	0	0.0411796	6.8e-6	2.9e-6	0	0	0	0	0.0016075	0	5.38e-5	0	0	0	0	0.0018145	0	0	0	0	0.0016372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76e-4	0	0	0	0.0020243	0	0	0	0	0	0	0	0.0015685	0.0075224	0.0322232	0	0.030291	0.056156	0.01288	0	4.4e-6	0.0013873	0	0.0304618	0.0032801	0	0	0	0	0	4.4e-6	0	0.0196349	0	0	0	0	0	0	0	1.8e-6	0	0	0	0	0	0	0	0	0	0	0.0214594	0	0	0.0933856	0	0	0.0249835	0	0	0	0	0	0	0	6.869e-4	0.0055986	0	8.565e-4	0	2.666e-4	0.0026972	6.42e-5	0	0	1.99e-5	0	0	0.0024847	0	1.165e-4	0	0	0	0	0	0	0	4.92e-5	0	0	0	0	0	0.0059033	0.0011984	0.0051998	0	0	1.661e-4	0	0	0	0	0.0166524	0	0	0	0	9.517e-4	0	0.0034771	0	0	0	2.44e-4	0	0	1.662e-4	0	0	0	0	0	0	0.0323315	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	0	1.142e-4	0	0	0.0055428000000000005	0	0	0	0	0	3.158e-4	0	0	0.0131724	0	0.0033047000000000003	0.0074778	0	0	0.0011061	0	8.5e-6	0.0032168	0.0028792	0.0035411	0.0041495	0.0016664	0.0015861999999999998	0	8.87e-4	0.0012872	0	0.0082132	1.439e-4	0.0086032	0	0	1.368e-4	0.0051482	4.314e-4	0	0.0022735	0	0	0	0.0229815	0	0	0	0	0	8.514e-4	0	0	0.01411	0	0	0.0016898	0	0.0049683999999999996	0	0.002197	0	5.89e-4	0.008251	8.673000000000001e-4	5.341e-4	4.97e-5	0	0.0017810999999999999	0	0	0	0	0	0.0160462	0.0041503	0.003758	0	0	0.0098661	0	0.0036092	5.011e-4	0	0	0.0022268	0	0	0	0	1.922e-4	3.829e-4	0	0	0	0	0	0	0	0	5.514e-4	0.002435	0	0.0030621	0.004498599999999999	4.71e-4	0	1.644e-4	0.0120017	0.0016698	0	7.3e-6	0.0022629	0.0011921	0.0018903	0.004100400000000001	0.0324718	0.0080218	0.0120327	0.0065498	0.0035655	0	2.749e-4	0.0025614	0.0046616999999999995	0	0	0.0299343	0	0	0	0.0043398	0.0152373	3.3e-5	6.58e-5	0.0124976	0	0.007272099999999999	0	0	0.0012487000000000002	0.0140738	0.0063121	0	0	0.0061106	0	0	0	0	0	0.0106846	2.92e-5	0.0043061	0	0.0027214	0.0073891	0.0030243	4.764e-4	0.0035447	0.0046149	1.608e-4	2.066e-4	0	0	9.654e-4	1.695e-4	2.703e-4	9.63e-5	9.117e-4	0	0.0013174	5.63e-5	0	4.81e-5	0	0	0	0	0.0012742	0.0025818	0	0	0.002751	0	0	0	0.0021495	0	0	0	0	0	6.639e-4	0	0	0	0	0	0	0.0022363	1.5e-4	0.0020445	0.0013493	0	0	5.643e-4	0.0017673	0.0050885	0	0	0	0.0041473	0	5.137e-4	2.053e-4	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0078269	0	0	0	0	0	0.0010585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.355e-4	0	0	0	3.598e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030065	0	0.0029463	0	0	0	0	0	0.0051942	0	0	0	0	3.14e-5	0	0	0	0	0	0	0	0	6.006e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.721e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	1.744e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.39e-5	0	0.0027159	1.397e-4	0	0	7.923e-4	6.6e-5	0.0045421	0	3.07e-5	9.73e-5	0	0	0	3.24e-4	0	0	0	7.73e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.338e-4	0	0	0	0	0	0	0	0	0	0	0.0083971	0	0	0	0	7.28e-5	1.413e-4	0	0	0	0	1.32e-5	0	0	0	0	0	0	0	0	0	0.0064919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65e-4	0	0	0	0	0	0	0	0.0038989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009409	0	0	0	2.901e-4	0	0	0	0	0	0	0	0	0	1.74e-5	0	0	0	4.2e-6	0	0	0	2.26e-4	0	0	0	0	0	0	0	4.008e-4	0	0	0	7.27e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.19e-5	0	0.0374844	1.272e-4	0	0	0	0	0	0	0	0	9.82e-5	0	0	0.0010389	0.0035932	0	0	0	0	0	2.95e-5	0	0	0	0	0	0.185456	0	0	0	0	0	0	0	0.0041401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	2.789e-4	1.214e-4	0.0575176	0.0077607	6.321e-4	2.977e-4	0.1577334	0.1139109	0.0025016	0.4317105	4.37e-4	2.07e-5	5.088e-4	1.7460000000000002e-4	1.968e-4	0.0020728	5.583e-4	0.0038979999999999996	2.73e-5	0	0.0015831999999999999	0.001401	0	8.95e-5	0.0149183	2.19e-5	7.117e-4	0	0	2.832e-4	6.13e-4	0.0073778	9.85e-5	0.0018333	3.499e-4	2.707e-4	3.456e-4	2.4609999999999996e-4	7.54e-5	0.0049335	0.0428947	1.159e-4	0.1363858	0.0267971	3.582e-4	0.013412	0.0036747999999999998	0.0194852	0.4773538	0.019194799999999998	0	1.359e-4	0.0136617	3.656e-4	0.1329669	1.306e-4	0.78681	0.0045181	3.414e-4	4.228e-4	1.694e-4	1.066e-4	0.0021795	0.0542258	9.232999999999999e-4	0.0015209	0	7.05e-5	0.019724699999999998	0.0054082	0.0019177	0.004104	0.0274785	7.912e-4	0.5428239	0	0.1422223	0.019189	0.0324383	0.6006581	4.125e-4	0.0074251000000000004	2.263e-4	9.496999999999999e-4	0.0272191	1.724e-4	0.062463599999999994	0.0021073	0.0084353	4.008e-4	9.62e-5	0	1.282e-4	0.0680652	2.195e-4	0	6.93e-4	1.668e-4	1.807e-4	0.1602893	0.0105622	2.96e-5	4.73e-5	5.924e-4	1.104e-4	1.8160000000000002e-4	0.0021552	5.968e-4	0.0525688	0.0012659000000000001	2.834e-4	4.17e-5	2.458e-4	0.0018353	1.394e-4	2.574e-4	0.0047624	0.0150418	1.1850000000000001e-4	4.322e-4	0.0023181	0	4.58e-4	2.751e-4	3.67e-5	9.999999999999999e-5	1.223e-4	0.0438944	0.4643871	1.3879999999999999e-4	0.6222746	0.33266640000000003	0.040002	0.010840599999999999	0.1810597	0.002835	0.0066576	0.082453	1.48e-4	0.0357409	0.0035553	6.180000000000001e-4	0.0011329	0.0056527999999999995	0.0524417	0.1106256	0.0287925	4.84e-5	0.0010687	0	8.56e-5	0.0019378	4.7900000000000004e-4	9.897e-4	0	7.47e-5	0.013064	0.0029474	0.0012153	4.264e-4	0.0018281	0.001169	0.0025063	0.0031049	4.691e-4	8.323e-4	5.579e-4	0.0421498	0	0	0.0157621	2.488e-4	0.0011876	0.0153394	0	0.0016849	5.438e-4	1.8130000000000002e-4	0	0.0251584	0.0063654	0.0016367	0	0	0	0.0162698	7.024e-4	0	4.766e-4	1.274e-4	3.3830000000000004e-4	0	0	0.036676499999999994	6.764e-4	0.0130343	0	0	5.745e-4	0.055571899999999994	0.0448626	0	0	0	0	3.415e-4	2.265e-4	0	0.0023077999999999996	0.0104707	2.682e-4	0.0085799	8.579e-4	9.588e-4	0.0027609	0	0.0010019	0.024007	0	8.894e-4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella	0	3.39e-5	2.51e-5	0	0	0	2.78e-5	4.26e-5	0	0.0012011	0	0	1.36e-5	2.877e-4	0	0	0	0	0	0	0	0	0	0.231627	0	9.593e-4	0	0	0	0	0	0	0	8.08e-5	0	0	0	0	0	0	0	0.0019115	3.881e-4	0	0.0256602	0	0	0.0163151	0.0321267	0.0305577	0	0	0	0	0	2.26e-5	1.675e-4	1.04e-4	2.59e-5	4.14e-5	0	0	0	0	0.0014977	0	0	0	0	0	0	0	0	0	0.001339	0	9.45e-5	0	0	0	7.967e-4	0	4.1400000000000003e-5	0	0	0	6.636e-4	2.445e-4	0	4.99e-5	0	1.37e-4	0	0	0	0	1.748e-4	1.39e-4	2.14e-5	0	0.0052381	0.0111173	2.4270000000000002e-4	0	1.11e-5	0.0032338000000000002	3.8e-5	0.7246257	0.011371599999999999	0.0131022	0	0	7.28e-5	5.66e-5	4.59e-5	2.78e-5	2.1799999999999998e-5	0	0	0	0	0	3.71e-5	0	2.92e-5	2.71e-5	4.4800000000000005e-5	8.57e-5	0.12891719999999998	0	0.0317157	0.0115752	0	1.36e-5	0.0166222	3.268e-4	0.0014997	2.44e-5	0	0	3.401e-4	0	0.0014684	0	5.04e-5	0.0051434	0	0	9.33e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus	0	0	0	0	0	0	0	0	4.643e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101003	0	0	0.0068661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038649	0	0	0	0	0	0	0	0	0	1.398e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0063582	0	0	0	0	0	0	0	0.0021735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	5.9e-6	2.7e-5	0	1.62e-5	2.67e-5	3.8e-6	0	0	1.16e-5	7e-6	5.51e-5	3.43e-5	0.0022315	0	0.0132949	0	0	0.00308	0	0.0019553	0	0	3.739e-4	1.48e-5	0	3.64e-5	8.43e-5	0	0.0012413	0	0	0	0	0.0038785	0	0	1.626e-4	6.166e-4	0	5.94e-4	0	0.0038973	0	0.0010196	0	0	2.347e-4	0	1.64e-5	8.85e-5	0.0024427	1.121e-4	2.381e-4	0.0090778	0	0	4.647e-4	0	0	0	1.6e-6	0	0	7.77e-5	0.0013621	0	0	0	0	0	2.216e-4	0.0013316	2.24e-5	3.939e-4	0	0	1.26e-5	0	0	0.0025825	0	0	1.193e-4	0	0.0019503	0.512798	0	0.001524	2.32e-5	0.0100292	2.013e-4	0	7.221e-4	4.4e-6	0	0.0075642	0	0	0	0	5.799e-4	1.51e-5	0	5.958e-4	2.4e-6	0	0.074539	0	0	7.23e-5	5.37e-5	0	0	2.376e-4	0	6e-6	2.63e-5	0	3.62e-5	1.159e-4	0	0	0.0070159	0	6.1e-6	0.0013384	1.917e-4	0.0011092	1.873e-4	0.0156637	1.925e-4	3.09e-5	0.002017	4.477e-4	0	0.0072595	0	0.0012156	0	0.0301703	0	1.569e-4	0.0053139	0	4.113e-4	5.2e-6	0	0	7.089e-4	0	0	6.775e-4	0	1.38e-4	2.494e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	0.0047847	3.26e-5	0.02458	7.3e-5	0.0021296	0.001365	2.3e-5	4.37e-5	1.383e-4	7.271e-4	7.48e-5	0	3.1e-5	7.073e-4	8.481e-4	0.042463	0.0158348	3.5e-5	0	0	7.69e-5	2.09e-5	0	4.801e-4	0.134978	0.192396	0.113094	0.081928	0	0	1.8e-6	0.0029246	0	0	1.36e-5	0	0	0	0.0378085	0.0022269	0	0.0218842	0.0829119	8.14e-5	0.607805	1.076e-4	1.384e-4	6.4e-6	1.314e-4	0.182528	0	0.0043148	0	0	1.08e-5	4.69e-5	5.345e-4	0.0015457	0.171767	0.0481403	2.01e-5	2.2e-5	0.0450019	0.0053774	2.35e-5	0.523176	0.342535	0	0.0042102	0.0596574	8.4e-5	0	0.0498671	3.36e-5	7.68e-5	0	5.41e-5	6.31e-5	8.74e-5	0	0.0011982	0	0.0027424	9.54e-5	4.176e-4	2.32e-5	0.40765	9.19e-5	1.091e-4	2.152e-4	0.0021033	5.51e-5	0.0273613	5.6e-5	5.21e-5	0	1.13e-4	0.0196462	5.41e-5	0	1.335e-4	0	0	0	3.09e-5	2.54e-5	7.77e-5	3.61e-5	3.91e-5	2.01e-5	0.00167	2e-6	7.4e-5	0.08995	0.0021637	7.74e-5	0.181461	2.96e-5	0.135196	0.0308751	2.35e-5	0	2.2e-5	0	2.7e-5	0.0095473	3.03e-5	1.044e-4	2.65e-5	2.17e-5	2.18e-5	9.2e-5	3.71e-5	1.9e-5	0.0016873	1.97e-5	2.83e-5	1.89e-5	0	0	0	0.0010677	0	0.0463564	0	4.398e-4	0	0.001052	1.884e-4	0	3.65e-5	0	0	0	0.0439614	0	0	0	0.124137	0.0164662	0	0.233289	0.057164	0	0.0655792	1.85e-5	0	0	0.146157	2.748e-4	0.155269	0.0013544	0.0718383	0	0.0020148	0.0631647	1.8e-6	0	0	0	0	0.110025	0	0.0264995	0	0.317539	0	0	0.019231	0	0	0	0	0	0	0	0	0	0	0	4.981e-4	0.0192784	0.0166022	0	0	0	0.0280592	0.0103769	2.55e-5	0.0037724	0	0	0	0	0	0	0.0593462	0	0	0
Unclassified	0	4.16e-5	3.1e-6	3.613e-4	0	0	0	5.988e-4	1.65e-4	0	1.186e-4	1.3e-6	3.977e-4	2.75e-4	0	0.002968	0.0012542	0.001423	0	1.019e-4	0	0	3.79e-5	0.0021004	0	0.0010272	0.0052371	2.596e-4	0.0036472	4.337e-4	0.0089312	0	0.0060722	0	0	4.64e-5	7.616000000000001e-4	5.85e-5	1.59e-4	0.0017175	0	0.0146076	0	0	0	4.322e-4	0.0028182	0	0	0	0	4.653e-4	0	5.093e-4	0	1.0090000000000001e-4	0	0.0015023	2.2e-6	0.020043599999999998	0	1.094e-4	0	1.598e-4	0	0	0.008039800000000001	0.0046504	0	0	0	7.316e-4	0.001949	3.704e-4	0	0	0	0	0	0	0.0037783	7.1e-6	0	3.386e-4	0.0030139	0	0	0	0	0	3.89e-5	0.0087266	9.686e-4	0	0	0	0.0010258	0.0066167	0	0	0	0	0.0210768	0	0.0191715	0.0034487000000000003	2.537e-4	0	0	0	0.0051671	0	0	0.0296009	1.07e-4	0.0048744	0.0124667	4.267e-4	0.0137767	0	0.0010915	0.0014341	2.0639999999999998e-4	4.225e-4	5.93e-5	0	0.0011725	0	0	1.6e-6	0	0	0	1.516e-4	0	8.099e-4	0.0024272	0	2.754e-4	0	0	0	2.046e-4	0	0	0.0077989	0	2.7e-5	0	0	0	0	0	0.001741	0.0012502	5.936e-4	0	0	0.0091098	5.806e-4	0.0036954	0.0060723	0.0013251	0.0072638	0.001014	0	3.912e-4	4.612e-4	0.0013959	1.22e-5	0.0061751	2.59e-5	0.0014384	1.115e-4	0	0.0029446	1.774e-4	0	2.917e-4	0	0.0010477	0.0036116	1.085e-4	0.0022542	0.0155111	0	0.0039356	0	0	0	3.179e-4	0.0017318	0	0	9.12e-5	0.0024785	0	0	0	0	0	0.0011352	0	6.287e-4	0	0	0	0.001964	0.0032855	0.0011676	4.125e-4	0	0.0013826	0.0019993	0	6.365e-4	0.004218	5.28e-5	0.0045489	0
