Compound	KEGG	HMDB.Name	HMDB.Sub.Class	HMDB.Class	HMDB.Super.Class	HMDB.Kingdom	HMDB.Source.Endogenous	HMDB.Source.Food	HMDB.Source.Microbial
HMDB0000008	C05984	2-Hydroxybutyric acid	Alpha hydroxy acids and derivatives	Hydroxy acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	FALSE
HMDB0000014	C00881	Deoxycytidine	Pyrimidine 2'-deoxyribonucleosides	Pyrimidine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000017	C00847	4-Pyridoxic acid	Pyridinecarboxylic acids and derivatives	Pyridines and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	FALSE	FALSE
HMDB0000019	C00141	alpha-Ketoisovaleric acid	Short-chain keto acids and derivatives	Keto acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000020	C00642	p-Hydroxyphenylacetic acid	1-hydroxy-2-unsubstituted benzenoids	Phenols	Benzenoids	Organic compounds	FALSE	TRUE	TRUE
HMDB0000022	C05587	3-Methoxytyramine	Methoxyphenols	Phenols	Benzenoids	Organic compounds	TRUE	FALSE	FALSE
HMDB0000026	C02642	Ureidopropionic acid	Ureas	Organic carbonic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000030	C00120	Biotin	NA	Biotin and derivatives	Organoheterocyclic compounds	Organic compounds	FALSE	TRUE	FALSE
HMDB0000033	C00386	Carnosine	Hybrid peptides	Peptidomimetics	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000034	C00147	Adenine	Purines and purine derivatives	Imidazopyrimidines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000036	C05122	Taurocholic acid	Bile acids, alcohols and derivatives	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000039	C00246	Butyric acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	TRUE
HMDB0000043	D07523	Betaine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000050	C00212	Adenosine	NA	Purine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000056	C00099	beta-Alanine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000062	C00318	L-Carnitine	Quaternary ammonium salts	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000064	C00300	Creatine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000070	C00408	Pipecolic acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	TRUE
HMDB0000071	C05512	Deoxyinosine	Purine 2'-deoxyribonucleosides	Purine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000076	C00429	Dihydrouracil	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000085	C00330	Deoxyguanosine	Purine 2'-deoxyribonucleosides	Purine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000086	C00670	Glycerophosphocholine	Glycerophosphocholines	Glycerophospholipids	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000089	C00475	Cytidine	NA	Pyrimidine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000092	C01026	Dimethylglycine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	TRUE
HMDB0000094	C00158	Citric acid	Tricarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000097	C00114	Choline	Quaternary ammonium salts	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds	FALSE	TRUE	FALSE
HMDB0000112	C00334	gamma-Aminobutyric acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	TRUE
HMDB0000118	C05582	Homovanillic acid	Methoxyphenols	Phenols	Benzenoids	Organic compounds	TRUE	TRUE	TRUE
HMDB0000123	C00037	Glycine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000124	C00085	Fructose 6-phosphate	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	FALSE	FALSE
HMDB0000126	C00093	Glycerol 3-phosphate	Glycerophosphates	Glycerophospholipids	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000127	C00191	D-Glucuronic acid	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000128	C00581	Guanidoacetic acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	FALSE
HMDB0000131	C00116	Glycerol	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000132	C00242	Guanine	Purines and purine derivatives	Imidazopyrimidines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000133	C00387	Guanosine	NA	Purine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000134	C00122	Fumaric acid	Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000138	C01921	Glycocholic acid	Bile acids, alcohols and derivatives	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	TRUE
HMDB0000139	C00258	Glyceric acid	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000148	C00025	L-Glutamic acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000152	C00628	Gentisic acid	Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids	Organic compounds	TRUE	TRUE	FALSE
HMDB0000156	C00149	Malic acid	Beta hydroxy acids and derivatives	Hydroxy acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000157	C00262	Hypoxanthine	Purines and purine derivatives	Imidazopyrimidines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000158	C00082	L-Tyrosine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000159	C00079	L-Phenylalanine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	FALSE	TRUE	FALSE
HMDB0000161	C00041	L-Alanine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000162	C00148	L-Proline	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000167	C00188	L-Threonine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	FALSE	TRUE	FALSE
HMDB0000168	C00152	L-Asparagine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000172	C00407	L-Isoleucine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	FALSE	TRUE	FALSE
HMDB0000177	C00135	L-Histidine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	FALSE	TRUE	FALSE
HMDB0000182	C00047	L-Lysine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	FALSE	TRUE	FALSE
HMDB0000187	C00065	L-Serine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000190	C00186	L-Lactic acid	Alpha hydroxy acids and derivatives	Hydroxy acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	TRUE
HMDB0000191	C00049	L-Aspartic acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000192	C00491	L-Cystine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000194	C01262	Anserine	Hybrid peptides	Peptidomimetics	Organic acids and derivatives	Organic compounds	TRUE	FALSE	FALSE
HMDB0000195	C00294	Inosine	NA	Purine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000197	C00954	Indoleacetic acid	Indolyl carboxylic acids and derivatives	Indoles and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	TRUE
HMDB0000201	NA	L-Acetylcarnitine	Fatty acid esters	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000206	C02727	N6-Acetyl-L-lysine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000208	C00026	Oxoglutaric acid	Gamma-keto acids and derivatives	Keto acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	TRUE
HMDB0000210	C00864	Pantothenic acid	Alcohols and polyols	Organooxygen compounds	Organic oxygen compounds	Organic compounds	FALSE	TRUE	FALSE
HMDB0000214	C00077	Ornithine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000215	C00140	N-Acetyl-D-glucosamine	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000216	C00547	Norepinephrine	Benzenediols	Phenols	Benzenoids	Organic compounds	TRUE	TRUE	TRUE
HMDB0000226	C00295	Orotic acid	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000232	C03722	Quinolinic acid	Pyridinecarboxylic acids and derivatives	Pyridines and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000235	C00378	Thiamine	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds	Organic compounds	FALSE	TRUE	FALSE
HMDB0000237	C00163	Propionic acid	Carboxylic acids	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	FALSE	TRUE	TRUE
HMDB0000239	C00314	Pyridoxine	Pyridoxines	Pyridines and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000243	C00022	Pyruvic acid	Alpha-keto acids and derivatives	Keto acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	TRUE
HMDB0000244	C00255	Riboflavin	Alloxazines and isoalloxazines	Pteridines and derivatives	Organoheterocyclic compounds	Organic compounds	FALSE	TRUE	FALSE
HMDB0000245	C00931	Porphobilinogen	Amines	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000251	C00245	Taurine	Organosulfonic acids and derivatives	Organic sulfonic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000254	C00042	Succinic acid	Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	TRUE
HMDB0000259	C00780	Serotonin	Tryptamines and derivatives	Indoles and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	TRUE
HMDB0000262	C00178	Thymine	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000267	C01879	Pyroglutamic acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000271	C00213	Sarcosine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	FALSE
HMDB0000273	C00214	Thymidine	Pyrimidine 2'-deoxyribonucleosides	Pyrimidine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000279	C00449	Saccharopine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000288	C00105	Uridine 5'-monophosphate	Pyrimidine ribonucleotides	Pyrimidine nucleotides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000289	C00366	Uric acid	Purines and purine derivatives	Imidazopyrimidines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000292	C00385	Xanthine	Purines and purine derivatives	Imidazopyrimidines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000294	C00086	Urea	Ureas	Organic carbonic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000296	C00299	Uridine	NA	Pyrimidine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000299	C01762	Xanthosine	NA	Purine nucleosides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	TRUE	FALSE
HMDB0000300	C00106	Uracil	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000301	C00785	Urocanic acid	Imidazoles	Azoles	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000303	C00398	Tryptamine	Tryptamines and derivatives	Indoles and derivatives	Organoheterocyclic compounds	Organic compounds	NA	NA	NA
HMDB0000306	C00483	Tyramine	Phenethylamines	Benzene and substituted derivatives	Benzenoids	Organic compounds	TRUE	TRUE	TRUE
HMDB0000355	C03761	3-Hydroxymethylglutaric acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000357	NA	NA	NA	Hydroxy acids and derivatives	Organic acids and derivatives	NA	NA	NA	NA
HMDB0000402	C02504	2-Isopropylmalic acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	TRUE
HMDB0000448	C06104	Adipic acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	TRUE
HMDB0000450	C16741	5-Hydroxylysine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000452	C02356	L-alpha-Aminobutyric acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000472	C00643	5-Hydroxy-L-tryptophan	Tryptamines and derivatives	Indoles and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000479	C01152	3-Methylhistidine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	FALSE
HMDB0000482	C06423	Caprylic acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000500	C00156	4-Hydroxybenzoic acid	Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids	Organic compounds	TRUE	TRUE	TRUE
HMDB0000510	C00956	Aminoadipic acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000511	C01571	Capric acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000512	C03519	N-Acetyl-L-phenylalanine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	FALSE
HMDB0000517	C00062	L-Arginine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000535	C01585	Caproic acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000562	C00791	Creatinine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000574	C00097	L-Cysteine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000609	NA	DL-Dopa	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	FALSE
HMDB0000619	C00695	Cholic acid	Bile acids, alcohols and derivatives	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000623	C02678	Dodecanedioic acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000625	C00257	Gluconic acid	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	FALSE	FALSE
HMDB0000626	C04483	Deoxycholic acid	Bile acids, alcohols and derivatives	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000630	C00380	Cytosine	Pyrimidines and pyrimidine derivatives	Diazines	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000638	C02679	Dodecanoic acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000641	C00064	L-Glutamine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000666	C17714	Heptanoic acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000671	C02043	Indolelactic acid	Indolyl carboxylic acids and derivatives	Indoles and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	FALSE	TRUE
HMDB0000682	NA	Indoxyl sulfate	Arylsulfates	Organic sulfuric acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	TRUE
HMDB0000684	C00328	L-Kynurenine	Carbonyl compounds	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000687	C00123	L-Leucine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	FALSE	TRUE	FALSE
HMDB0000695	C00233	Ketoleucine	Short-chain keto acids and derivatives	Keto acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000696	C00073	L-Methionine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000699	C02918	1-Methylnicotinamide	Pyridinecarboxylic acids and derivatives	Pyridines and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	FALSE	FALSE
HMDB0000700	C01013	Hydroxypropionic acid	Beta hydroxy acids and derivatives	Hydroxy acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	TRUE
HMDB0000711	NA	Hydroxyoctanoic acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000714	C01586	Hippuric acid	Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids	Organic compounds	TRUE	TRUE	TRUE
HMDB0000718	C08262	Isovaleric acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000719	C00263	L-Homoserine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	TRUE
HMDB0000720	NA	Levulinic acid	Gamma-keto acids and derivatives	Keto acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000729	NA	alpha-Hydroxyisobutyric acid	Alpha hydroxy acids and derivatives	Hydroxy acids and derivatives	Organic acids and derivatives	Organic compounds	FALSE	FALSE	FALSE
HMDB0000732	C02794	Hydroxykynurenine	Carbonyl compounds	Organooxygen compounds	Organic oxygen compounds	Organic compounds	TRUE	FALSE	FALSE
HMDB0000759	C02155	Glycylleucine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	FALSE
HMDB0000763	C05635	5-Hydroxyindoleacetic acid	Indolyl carboxylic acids and derivatives	Indoles and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	TRUE
HMDB0000764	C05629	Hydrocinnamic acid	NA	Phenylpropanoic acids	Phenylpropanoids and polyketides	Organic compounds	TRUE	TRUE	TRUE
HMDB0000779	C01479	Phenyllactic acid	NA	Phenylpropanoic acids	Phenylpropanoids and polyketides	Organic compounds	TRUE	FALSE	TRUE
HMDB0000784	C08261	Azelaic acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000792	C08277	Sebacic acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000802	C00715	Pterin	Pterins and derivatives	Pteridines and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	TRUE	FALSE
HMDB0000812	C01042	N-Acetyl-L-aspartic acid	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	FALSE	FALSE
HMDB0000840	C07588	Salicyluric acid	Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids	Organic compounds	TRUE	TRUE	TRUE
HMDB0000857	C02656	Pimelic acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000870	C00388	Histamine	Amines	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds	TRUE	TRUE	TRUE
HMDB0000875	C01004	Trigonelline	NA	NA	Alkaloids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000881	C02470	Xanthurenic acid	Quinoline carboxylic acids	Quinolines and derivatives	Organoheterocyclic compounds	Organic compounds	TRUE	FALSE	FALSE
HMDB0000883	C00183	L-Valine	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	FALSE	TRUE	FALSE
HMDB0000892	C00803	Valeric acid	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds	TRUE	TRUE	FALSE
HMDB0000895	C01996	Acetylcholine	Quaternary ammonium salts	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds	TRUE	TRUE	TRUE
HMDB0000897	C02242	7-Methylguanine	Purines and purine derivatives	Imidazopyrimidines	Organoheterocyclic compounds	Organic compounds	TRUE	FALSE	FALSE
HMDB0000898	C05127	1-Methylhistamine	Amines	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds	TRUE	FALSE	FALSE
HMDB0000904	C00327	Citrulline	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds	TRUE	TRUE	FALSE
HMDB0000905	C00360	Deoxyadenosine monophosphate	Purine deoxyribonucleotides	Purine nucleotides	Nucleosides, nucleotides, and analogues	Organic compounds	TRUE	FALSE	FALSE
HMDB0000906	C00565	Trimethylamine	Amines	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds	FALSE	TRUE	TRUE
HMDB0000925	C01104	Trimethylamine N-oxide	Aminoxides	Organonitrogen compounds	Organic nitrogen compounds	Organic compounds	TRUE	FALSE	TRUE
HMDB0000929	C00078	L-Tryptophan	Indolyl carboxylic acids and derivatives	Indoles and derivatives	Organoheterocyclic compounds	Organic compounds	FALSE	TRUE	FALSE
